,Resource,ARIMA_Train_R2,ARIMA_Test_R2,SARIMA_Train_R2,SARIMA_Test_R2,SARIMA_Test_RMSE,SARIMA_Test_MAE,SARIMA_Test_MAPE
0,CPU,0.8375497706062377,0.05409409218843286,0.8941794680088594,0.9274844113440338,1.945095225031096,1.5364763453960995,2.729556811669938
1,Memory,0.8083271844615627,0.11772002084226263,0.8515108859171925,0.9343552948057712,1.492465237665577,1.189795172060665,1.7119571579900497
2,Cost,0.7727589583290144,-0.051558506938027104,0.8296380168949145,0.8783653298742214,69.97641278782153,55.65233054139002,1.7947930280260385
